Wine,Price,Body,Tannins,Fruit,Acid
Billecart-Salmon Brut Réserve Champagne,74.95,full body,N/A,fruity,N/A
Monasterio de las Viñas Gran Reserva,17.95,full body,N/A,N/A,N/A
Domaine Bellevue Touraine Sauvignon 2017,16.95,N/A,N/A,N/A,N/A
Pasqua Soave DOC,16.45,light body,N/A,fruity,low acidity
Fuzion Shiraz Malbec,8.95,N/A,N/A,N/A,N/A
Kourtakis Apelia Moschofilero White Peloponnese IGP,15.9,N/A,N/A,stone fruit,high acidity
Inniskillin Dry Riesling VQA,13.95,N/A,N/A,stone fruit,high acidity
Beringer Napa Valley Chardonnay,25.95,N/A,N/A,tropical fruit,high acidity
Wynns Coonawarra Estate Black Label Cabernet Sauvignon 2014,34.95,N/A,N/A,N/A,N/A
Blu Giovello Prosecco,16.0,N/A,N/A,citrus,high acidity
Oggi Botter Pinot Grigio IGT,9.25,N/A,N/A,citrus,high acidity
Bonterra Sauvignon Blanc 2017,19.95,N/A,N/A,N/A,N/A
Oggi Botter Primitivo IGT,9.25,N/A,N/A,berry,N/A
Brights Maria Christina Red,36.95,N/A,N/A,N/A,low acidity
B & G Cuvee Speciale Rouge,15.95,N/A,N/A,fruity,high acidity
Tawse Sketches of Niagara Riesling 2016,19.95,N/A,N/A,stone fruit,high acidity
Tawse Sketches of Niagara Chardonnay,21.95,light body,N/A,tropical fruit,high acidity
Girls' Night Out Rosé VQA,13.95,medium body,N/A,citrus,N/A
Quinta da Aveleda Vinho Verde,12.45,N/A,N/A,citrus,high acidity
Kittling Ridge Kingsgate Reserve Apera (PET),9.2,N/A,N/A,N/A,N/A
Santa Margherita Chianti Classico 2015,22.95,N/A,N/A,N/A,N/A
Red Knot Cabernet Sauvignon,19.0,N/A,N/A,N/A,N/A
Jacob's Creek Reserve Cabernet Sauvignon Limestone Coast,17.95,N/A,low tannins,berry,N/A
Loios White,9.3,N/A,N/A,N/A,high acidity
Deutz Brut Rosé Champagne,79.95,N/A,N/A,N/A,N/A
Wyndham Estate Bin 222 Chardonnay,12.95,N/A,N/A,N/A,N/A
Casillero del Diablo Reserva Malbec,13.95,N/A,N/A,berry,N/A
Zenato Bardolino 2017,15.95,N/A,N/A,N/A,high acidity
Spumante Bambino,15.95,N/A,N/A,fruity,N/A
Barefoot Cabernet Sauvignon,10.95,N/A,N/A,berry,low acidity
Barefoot Chardonnay,10.95,N/A,N/A,stone fruit,N/A
Naked Grape Pinot Grigio,9.95,medium body,N/A,citrus,low acidity
Cavit Collection Pinot Grigio delle Venezie IGT,13.95,N/A,N/A,citrus,N/A
Woodbridge By Robert Mondavi Chardonnay,11.75,medium body,N/A,citrus,high acidity
Sarl Champagne William Saintot Cuvee Seduction Champagne,82.5,light body,N/A,citrus,high acidity
The Prisoner,54.95,full body,low tannins,fruity,N/A
Frescobaldi Remole Toscana IGT,13.5,N/A,N/A,berry,N/A
Domaine D'Or White,35.75,N/A,N/A,citrus,low acidity
Jacob's Creek Shiraz Cabernet Sauvignon,13.45,N/A,N/A,fruity,N/A
Santa Margherita Pinot Grigio,19.95,N/A,N/A,stone fruit,high acidity
Domaine du Pré Baron Sauvignon Touraine 2017,18.95,N/A,N/A,N/A,N/A
Gray Fox Chardonnay,15.45,N/A,N/A,fruity,N/A
Gray Fox Cabernet Sauvignon,15.45,N/A,N/A,fruity,N/A
PJ's Salted Caramel (Panama Jack's),24.95,N/A,N/A,N/A,N/A
Frescobaldi Chianti Nipozzano Riserva DOCG,22.5,N/A,N/A,berry,N/A
Poggio Verrano Dròmos 2010,43.95,N/A,N/A,fruity,N/A
Angels Gate Gamay Noir VQA,14.95,N/A,N/A,berry,high acidity
Pelee Island Monarch Red VQA,11.95,light body,N/A,fruity,high acidity
Hewitson Miss Harry 2015,24.95,N/A,N/A,N/A,N/A
Mendel Malbec 2015,27.95,full body,N/A,N/A,N/A
Domaine D'Or Red,35.75,N/A,N/A,berry,low acidity
L'Epayrie Blanc,14.95,N/A,N/A,fruity,low acidity
