Wine,Price,Body,Tannins,Fruit,Acid
Jackson-Triggs Niagara Estate Grand Reserve Shiraz 2012,18.75,N/A,N/A,N/A,low acidity
Manzone Gramolere Barolo 2013,70.0,light body,N/A,berry,N/A
Cooper's Hawk Riesling,16.95,N/A,N/A,N/A,N/A
Amantiglio Toscana Bianco IGT 2015,20.5,full body,N/A,N/A,high acidity
Château des Charmes Equuleus 2014,45.0,N/A,N/A,N/A,N/A
Baigorri Reserva 2009,25.25,N/A,low tannins,berry,high acidity
Fita Preta Tinto De Castelao 2014,39.65,light body,N/A,N/A,high acidity
Flor de Vetus Verdejo 2015,16.25,light body,N/A,citrus,low acidity
Radford Dale Renaissance Chenin Blanc 2016,39.95,full body,N/A,citrus,high acidity
Rockway Vineyards Red Assemblage 2013,14.75,N/A,N/A,N/A,N/A
Penfolds Koonunga Hill Chardonnay,10.95,N/A,N/A,tropical fruit,high acidity
Tawse Gamay Noir 2016,14.75,N/A,N/A,berry,N/A
Château Cos Labory 2010,88.0,N/A,N/A,berry,low acidity
Messer Del Fauno Negroamaro Puglia IGT 2015,14.45,N/A,N/A,berry,low acidity
Chobeo De Pecina Tinto De Autor,57.85,N/A,N/A,fruity,low acidity
Stocco Cabernet Sauvignon 2014,21.7,N/A,N/A,berry,N/A
Juan De Juanes Plata Tempranillo 2015,16.75,N/A,N/A,berry,N/A
Billaud-Simon Montée de Tonnerre Chablis 1er Cru 2015,66.0,N/A,N/A,N/A,high acidity
Vineland Estates Cabernet/Merlot 2011,11.75,N/A,N/A,berry,N/A
Gaia Assyrtiko Wild Ferment 2016,40.75,N/A,N/A,N/A,N/A
Dog Point Section 94 Sauvignon Blanc 2014,43.95,N/A,N/A,stone fruit,high acidity
Vincenzi Sangiovese Kosher,19.1,light body,low tannins,N/A,low acidity
Lirica Primitivo di Manduria 2015,17.95,N/A,N/A,N/A,N/A
Coffin Ridge Into the Light White,20.45,N/A,N/A,N/A,N/A
Pavi Dolcetto 2011,39.25,N/A,N/A,berry,N/A
Wild Thing Chardonnay 2015,30.25,N/A,N/A,citrus,high acidity
Hanna Red Ranch Cabernet Sauvignon 2014,45.05,full body,low tannins,tropical fruit,N/A
Terlato Family Angel's Peak Red 2009,63.05,N/A,N/A,fruity,low acidity
Burning Kiln Strip Room,24.95,N/A,N/A,N/A,N/A
Monticello Vineyards Corley Family Jefferson Cabernet Sauvignon 2014,75.55,full body,N/A,berry,N/A
Bixio Poderi Valpolicella Classico Superiore Ripasso DOC 2014,19.45,N/A,medium tannins,berry,low acidity
Suertes Del Marques Los Pasitos 2015,54.4,light body,N/A,berry,high acidity
Ovid Red 2014,510.0,full body,high tannins,fruity,high acidity
Renieri Riserva Brunello di Montalcino 2011,118.0,N/A,N/A,berry,high acidity
M. Chapoutier Le Méal Ermitage Blanc 2012,365.0,N/A,N/A,citrus,N/A
Araujo Eisele Vineyard Cabernet Sauvignon 2013,754.0,light body,medium tannins,fruity,N/A
Domaine Billaud-Simon Les Vaillons Chablis 1er Cru 2015,48.0,N/A,medium tannins,N/A,high acidity
Beni di Batasiolo Riserva Barolo 2008,39.95,N/A,N/A,berry,high acidity
Hall Kathryn Hall Cabernet Sauvignon 2015,285.0,N/A,medium tannins,N/A,high acidity
Maycas de Limarí Quebrada Seca Chardonnay 2014,39.0,N/A,N/A,N/A,high acidity
Castello di Meleto Chianti Classico 2015,18.95,N/A,N/A,berry,N/A
Staete Landt Duchess Sauvignon Blanc 2014,26.6,N/A,N/A,citrus,high acidity
Blanc Des Millenaires 1995,226.95,light body,N/A,citrus,low acidity
Coffin Ridge Here Lies Sparkling Pear,18.95,N/A,N/A,N/A,N/A
Mountadam High Eden Estate Chardonnay 2015,20.25,N/A,N/A,stone fruit,N/A
Château des Charmes Cuvée d'Andrée Rosé 2016,15.95,N/A,N/A,N/A,low acidity
Latium Morini Campo Leòn Amarone della Valpolicella 2012,48.95,N/A,N/A,N/A,N/A
Sapaio 2015,91.0,full body,N/A,fruity,N/A
Terre Gaie Pinot Grigio Poggio Brac 2016,15.9,light body,N/A,citrus,low acidity
Chateau Larose Perganson 2008,39.3,full body,N/A,berry,N/A
Tenuta di Sticciano Cantastorie IGT 2010,32.65,N/A,N/A,N/A,N/A
Inniskillin Pinot Noir Rosé 2013,12.25,N/A,N/A,berry,high acidity
Pondview Lot 74 Cabernet Merlot VQA,14.95,N/A,N/A,berry,N/A
Villa Oppi Brunello Di Montalcino DOCG 2011,66.0,N/A,N/A,N/A,N/A
Luis Cañas Crianza 2015,18.95,N/A,N/A,fruity,low acidity
Gestioni Nero D'Avola IGP 2015,24.5,N/A,N/A,N/A,N/A
Fowles Stone Dwellers Chardonnay 2016,16.75,light body,N/A,tropical fruit,N/A
La Guita,11.75,N/A,N/A,citrus,N/A
Palmela Red 2015,10.25,N/A,medium tannins,fruity,low acidity
Aphros Sparkling Loureiro Reserve 2014,30.3,N/A,N/A,citrus,high acidity
Callaway Zinfandel 2012,18.55,light body,low tannins,berry,N/A
Tommasi Graticcio Appassionato 2016,15.95,N/A,N/A,N/A,N/A
Dr. Heidemanns-Bergweiler Graacher Himmelreich Riesling Spätlese 2013,28.95,full body,N/A,stone fruit,high acidity
Black Stallion Estate Chardonnay 2016,29.95,N/A,N/A,tropical fruit,N/A
De Morgenzon Reserve Chenin Blanc 2016,39.95,N/A,N/A,stone fruit,high acidity
Castello di Albola Chianti Classico 2013,19.95,N/A,N/A,citrus,high acidity
Moutard Père & Fils Rosé de Cuvaison Brut Champagne,43.75,N/A,medium tannins,citrus,N/A
Galan Cabernet Sauvignon Reserva Privada 2012,11.05,N/A,medium tannins,berry,N/A
Brandlin Estate Cabernet Sauvignon 2013,80.0,light body,N/A,berry,N/A
Nydia,16.8,N/A,N/A,N/A,N/A
Southbrook Framboise,14.3,N/A,N/A,berry,high acidity
Chateau Thuerry L'Exception Rouge 2008,35.55,N/A,N/A,N/A,N/A
Fetzer Merlot,9.95,medium body,N/A,fruity,N/A
Bread & Cheese Red 2015,14.95,N/A,N/A,fruity,high acidity
Fresh Sparkling Rosé VQA,15.95,light body,N/A,N/A,high acidity
Trius Rosé VQA,17.95,medium body,N/A,berry,N/A
Elvi Wines Herenza Reserva 2010,64.8,N/A,N/A,N/A,N/A
Elvi Wines Adar Reserva 2008,25.95,N/A,N/A,N/A,N/A
On Q Coombsville Cabernet Sauvignon 2013,126.85,light body,medium tannins,berry,N/A
Il Pollenza 2010,100.0,full body,N/A,fruity,N/A
Assuli Carinda Insolia IGT 2015,17.4,light body,N/A,citrus,low acidity
Assuli Fiordiligi Grillo IGT 2015,18.1,N/A,N/A,citrus,high acidity
Assuli Besi Nero D'Avola IGT 2013,37.3,N/A,N/A,N/A,N/A
Marchesi di Barolo Barolo 1982,822.0,N/A,N/A,N/A,N/A
Manz Platonico 2014,14.3,N/A,N/A,berry,N/A
Concha y Toro Marqués de Casa Concha Chardonnay 2015,14.75,N/A,N/A,fruity,N/A
Lustau East India Solera Sherry,21.75,N/A,N/A,N/A,N/A
Belle Glos Oeil de Perdrix Pinot Noir Blanc Rosé 2017,22.25,N/A,N/A,N/A,N/A
Gratia California Cabernet Sauvignon 2013,51.05,N/A,N/A,berry,high acidity
Rosso Campanino Sangiovese 2015,23.75,N/A,N/A,N/A,N/A
Campolosa Reserva 2010,23.55,full body,N/A,fruity,low acidity
Castelgreve Riserva Chianti Classico 2013,21.95,N/A,N/A,N/A,N/A
LeClerc Briant Champagne Brut Millesime 2007,81.35,full body,low tannins,citrus,low acidity
Georgian Hills Seyval Blanc VQA,16.95,N/A,N/A,citrus,N/A
Champagne Leclerc Briant Les Chevres 1er cru,95.35,full body,N/A,stone fruit,low acidity
Chateau Beaubois Expression White 2016,16.05,light body,N/A,fruity,N/A
Chateau Beaubois Elegance Red Costieres,20.55,N/A,N/A,fruity,N/A
Assuli Astolfo Grillo Terre Siciliane 2014,25.95,N/A,N/A,stone fruit,high acidity
Rockway Vineyards Small Lot Block 11-140 Cabernet Franc 2015,18.75,N/A,N/A,berry,N/A
Grgich Hills Fumé Blanc Dry Sauvignon Blanc 2015,47.95,N/A,N/A,tropical fruit,high acidity
Sister's Run Cow's Corner Grenache/Shiraz/Mataro 2016,16.95,N/A,N/A,N/A,N/A
Adega De Pias White 2016,9.85,N/A,N/A,N/A,N/A
Alter Ego 2012,190.0,N/A,N/A,berry,N/A
Seasons Tawny,29.75,N/A,N/A,N/A,N/A
Casa-Dea Gamay 2010,11.75,light body,N/A,berry,N/A
Copper Moon Chardonnay,7.95,medium body,N/A,citrus,low acidity
Copper Moon Cabernet Sauvignon,7.95,N/A,N/A,berry,N/A
EastDell Cabernet Sauvignon Icewine 2011,49.25,N/A,N/A,N/A,N/A
Château Les Ormes de Pez 2012,62.0,full body,N/A,N/A,N/A
Toscana Cantinino IGT 2010,41.5,N/A,N/A,N/A,N/A
Toscana Leone Rosso 2015,16.9,N/A,N/A,N/A,N/A
Masi Riserva di Costasera Amarone della Valpolicella Classico 2013,150.0,N/A,N/A,N/A,N/A
Palazzo Vecchio Maestro Vino Nobile di Montepulciano 2013,25.25,light body,N/A,berry,N/A
Château des Demoiselles 2014,13.75,N/A,N/A,N/A,N/A
Château Pey La Tour Réserve du Château 2015,21.95,N/A,low tannins,N/A,high acidity
Calamus Pinot Gris 2016,13.75,light body,N/A,citrus,low acidity
Nino Franco Brut Valdobbiadene Prosecco Superiore,23.95,light body,N/A,citrus,high acidity
Château La Fontaine de Genin 2014,15.95,N/A,N/A,N/A,N/A
Paco & Lola Albariño 2017,19.95,N/A,N/A,N/A,N/A
Cristal Brut Champagne 2009,785.0,full body,N/A,fruity,high acidity
Chateau De Parsac 2013,34.2,medium body,N/A,fruity,N/A
Vignerons De Nature Crozes Hermitages Les 4 Vents 2015,38.35,N/A,N/A,N/A,N/A
Domaine Saint Michel Cotes Du Rhone 2016,18.75,light body,N/A,fruity,low acidity
Ochota Barrels The Slint Vineyard Chardonnay 2016,54.5,N/A,N/A,stone fruit,high acidity
Barberani Polago Umbria IGT,22.05,N/A,N/A,citrus,high acidity
Château des Roques Cuvée du Château Vacqueyras 2013,24.95,N/A,high tannins,berry,N/A
Jean-Jacques Vincent Chateau-Fuisse Pouilly-Fuisse Tete De Cru 2015,47.55,full body,N/A,fruity,high acidity
Paul Jaboulet Aine Chateauneuf Du Pape Domaine De Terre Ferme 2014,60.35,N/A,medium tannins,citrus,low acidity
Paul Jaboulet Aine Saint Joseph Le Grand Pompee 2015,34.15,N/A,N/A,N/A,N/A
Paul Jaboulet Aine Crozes Hermitage Domaine De Roure 2015,54.6,N/A,N/A,citrus,high acidity
Masi Mazzano Amarone della Valpolicella Classico 2006,220.0,light body,N/A,berry,high acidity
Palatine Hills Neufeld Vineyard Sauvignon Blanc 2015,16.25,N/A,N/A,citrus,N/A
Valle Dell'Acate Ibidini Nero D'Avola 2015,15.95,N/A,N/A,fruity,N/A
Valle Dell'Acate Tenuta Ibidini Insolia 2015,15.95,N/A,N/A,citrus,high acidity
Castris Angio Fianco 2016,18.55,full body,N/A,stone fruit,low acidity
Allegrini La Poja 2011,110.0,light body,medium tannins,berry,N/A
Salvi Chianti Senesi Caspagnolo 2015,16.45,N/A,N/A,fruity,high acidity
Dona Isidora Cabernet Sauvignon 2012,9.1,medium body,low tannins,fruity,N/A
Ruffino Riserva Ducale Oro Gran Selezione Chianti Classico 2014,47.95,N/A,N/A,N/A,N/A
Yarra Yering Dry Red Nº 2 2011,87.0,medium body,N/A,fruity,N/A
Speri Vigne Monte Sant'Urbano Amarone della Valpolicella Classico 2004,165.0,full body,high tannins,berry,low acidity
Sawmill Creek Cabernet Sauvignon,12.95,N/A,N/A,berry,N/A
Jean Le Long 2007,44.35,full body,N/A,citrus,low acidity
Banfi Poggio alle Mura Riserva Brunello di Montalcino 2012,113.0,full body,N/A,fruity,N/A
Teperberg Impressions Sauvignon Blanc/Chardonnay KPM,20.2,N/A,N/A,citrus,N/A
Ben Ami Chardonnay KPM,16.95,N/A,N/A,N/A,N/A
Rio Madre Graciano 2016,15.95,medium body,N/A,fruity,N/A
Teperberg Red Cabernet Sauvignon/Merlot KPM,20.0,N/A,N/A,N/A,N/A
Cogno Vigna Elena Riserva Barolo 2011,124.0,full body,N/A,citrus,high acidity
Semeli Feast Moschofilero 2016,17.2,N/A,N/A,citrus,high acidity
Fielding Estate Bottled Chardonnay 2015,18.15,N/A,N/A,stone fruit,high acidity
Carpineto Chianti Classico 2016,19.95,N/A,N/A,N/A,N/A
Galan Sauvignon Blanc 2016,8.6,N/A,N/A,N/A,N/A
Murdoch Hill Sauvignon Blanc 2016,35.5,light body,N/A,citrus,low acidity
Murdoch Hill Artisan Surrey Pinot Meunier 2016,62.95,light body,low tannins,berry,N/A
The Organized Crime Pipe Down 2016,21.95,full body,low tannins,fruity,N/A
Arrepiado Collection Red 2014,50.8,N/A,N/A,fruity,N/A
Hahndorf Hill Gruner Veltliner 2016,31.5,N/A,N/A,stone fruit,N/A
Sette Aje Frappato 2015,17.8,N/A,N/A,fruity,N/A
Drapo Vermouth Rosso,19.15,N/A,N/A,N/A,N/A
Dandelion Vineyards Lionheart of the Barossa Shiraz 2016,12.95,full body,N/A,berry,low acidity
Mas Des Cabres Estive White 2016,14.85,N/A,N/A,citrus,high acidity
Peju Zinfandel Napa Valley 2013,63.5,light body,N/A,berry,N/A
Peju Sauvignon Blanc Napa Valley 2015,44.05,N/A,N/A,citrus,high acidity
J. L. Chave Sélection Offerus Saint-Joseph 2015,39.0,N/A,N/A,berry,N/A
Brash Higgins Riesling Blend 2016,41.95,N/A,N/A,citrus,N/A
Brash Higgins CHN 2016,41.95,N/A,N/A,fruity,N/A
Brash Higgins NYMPH 2016,41.95,N/A,N/A,fruity,N/A
Brash Higgins FRNC 2016,41.95,N/A,N/A,fruity,high acidity
Norman Hardie County Pinot Gris,29.2,N/A,N/A,N/A,N/A
Ségla 2010,69.95,light body,N/A,N/A,N/A
Farm To Table Shiraz 2015,20.15,full body,N/A,berry,N/A
Inniskillin Discovery Series P3 2012,19.95,N/A,N/A,N/A,high acidity
Sister's Run Bethlehem Block Cabernet Sauvignon 2016,18.95,N/A,N/A,N/A,N/A
La Jota Howell Mountain Merlot 2013,149.0,full body,N/A,berry,N/A
Frazzitta Zibibbo Vino Liquoroso Terre Siciliane IGT,16.75,N/A,N/A,citrus,N/A
Frazzitta Vigna Alta Nero D'Avola Terre Siciliane IGT 2015,20.55,N/A,low tannins,N/A,N/A
Frazzitta Vigna Alta Grillo Terre Siciliane IGT 2016,18.95,N/A,N/A,N/A,N/A
Borthwick Vineyard Paddy Borthwick Sauvignon Blanc 2017,19.95,medium body,N/A,citrus,high acidity
Jauma Thousand Fires Sem-Chenin 2016,47.15,N/A,N/A,N/A,N/A
Jauma Tikka the Cosmic Cat 2016,47.15,N/A,N/A,berry,high acidity
Jauma Clarendon Fairygarten 2016,53.1,N/A,N/A,berry,high acidity
Bachelder Lowrey Vineyard Old Vines Pinot Noir 2015,36.25,N/A,N/A,N/A,N/A
Cooper's Hawk Touché,18.95,N/A,N/A,tropical fruit,N/A
Freemark Abbey Chardonnay 2015,39.95,full body,N/A,N/A,N/A
3 Stones Pinot Gris 2017,18.95,N/A,N/A,tropical fruit,high acidity
Pfaff Pinot Gris,13.35,N/A,N/A,stone fruit,N/A
Bertani Amarone della Valpolicella Classico 2009,140.0,N/A,N/A,berry,high acidity
Ruggabellus Sallio Riesling 2014,47.55,full body,N/A,citrus,N/A
Amuse Bouche Red 2013,497.0,N/A,N/A,berry,low acidity
Thalia White,23.4,full body,N/A,tropical fruit,N/A
Blackbird Vineyards Paramour Proprietary Red 2014,125.0,light body,low tannins,berry,N/A
Le Fils des Gras Moutons Muscadet Sèvre-et-Maine Sur Lie 2016,14.95,full body,N/A,citrus,high acidity
Fidora Valpolicella 2015,22.9,N/A,N/A,fruity,high acidity
Domaine Du Clot De L'oum Numero Uno Rouge 2011,49.6,N/A,N/A,N/A,N/A
Hogue Riesling 2014,13.25,N/A,N/A,citrus,N/A
Fabio Gea Cul Otte 2015,80.3,N/A,N/A,N/A,N/A
Yalumba Y Series Vermentino 2016,13.7,N/A,N/A,citrus,high acidity
Organized Crime The Download 2010,45.2,N/A,N/A,berry,N/A
Schola Sarmenti Masserei Rosè 2016,20.05,N/A,N/A,berry,high acidity
La Tunella RjGialla 2016,22.75,light body,N/A,stone fruit,high acidity
Maquis Lien 2011,28.65,N/A,N/A,N/A,high acidity
Domaine De Saint-Prefert Chateauneuf Du Pape Reserve Auguste Favier 2013,79.55,full body,N/A,berry,high acidity
Domaine De Saint-Prefert Chateauneuf Du Pape Classique 2014,68.25,N/A,N/A,berry,N/A
Domaine De Saint-Prefert Chateauneuf Du Pape Reserve Auguste Favier 2014,83.05,light body,N/A,fruity,N/A
Quinta Nova Colheita Tinto Douro 2015,22.15,N/A,N/A,N/A,high acidity
Poggio Primo Chianti 2016,11.25,N/A,low tannins,N/A,high acidity
Modestine AOP Cotes Du Rhone Rose 2015,18.3,N/A,N/A,N/A,N/A
Chevalier D'Anthelme AOP Cotes Du Rhone Red 2015,16.25,medium body,N/A,berry,N/A
J.M. Raffault Les Picasses Chinon 2015,20.95,N/A,medium tannins,berry,N/A
Borgogno & Figli Fossati Barolo 2012,117.0,N/A,medium tannins,berry,low acidity
Coyote's Run Black Paw Vineyard Cabernet Sauvignon 2011,17.25,N/A,N/A,N/A,high acidity
Jackson-Triggs Niagara Grand Reserve Riesling 2012,11.75,N/A,N/A,stone fruit,N/A
Kew Soldier's Grant 2013,19.95,N/A,N/A,N/A,N/A
Vodopivec Vitovska Classica 2012,75.25,N/A,N/A,citrus,N/A
Vodopivec Solo MM12 IGT,97.75,N/A,N/A,N/A,N/A
Peique Seleccion Familiar Mencia 2008,62.85,full body,N/A,berry,high acidity
Brunello Di Montalcino DOCG 2011,125.95,N/A,N/A,N/A,N/A
La Crema Monterey Pinot Noir 2015,29.95,full body,N/A,berry,N/A
Duseigneur Chateauneuf du Pape Catarina Red 2015,65.75,N/A,N/A,citrus,N/A
Macanita Malvasia Fina António 2015,41.55,N/A,N/A,N/A,N/A
Macanita Os Canivéis White 2015,43.2,N/A,N/A,N/A,N/A
Roncier White,15.5,N/A,N/A,fruity,N/A
Bodegas Baron Micaela Manzanilla,19.15,N/A,N/A,fruity,high acidity
Bodegas Baron Xixarito Manzanilla,31.3,N/A,N/A,N/A,N/A
Bodegas Baron Micaela Palo Cortado,48.9,light body,N/A,N/A,low acidity
Volcanic Hills Marlborough Pinot Gris 2016,23.75,full body,N/A,stone fruit,low acidity
Reguengo De Melgaço Dry Alvarinho Sparkling Wine 2014,25.5,N/A,N/A,stone fruit,N/A
Accornero Centenario Monferrato Rosso 2008,57.0,full body,N/A,N/A,N/A
Stoney Ridge Cabernet Franc,15.1,N/A,N/A,N/A,N/A
Saltram 1859 Shiraz,10.95,N/A,N/A,N/A,N/A
Kim Crawford Pinot Gris 2017,19.95,N/A,N/A,citrus,high acidity
Gabriel Meffre Sainte-Catherine Gigondas 2015,32.95,N/A,N/A,berry,N/A
Obrada Tinto Joven 2016,13.1,N/A,N/A,berry,low acidity
Pessoa Da Vinha Reserva Douro,11.8,N/A,low tannins,N/A,N/A
Pablo Claro Espumoso,15.45,N/A,N/A,fruity,high acidity
Santa Ema Gran Reserva Syrah 2015,18.95,full body,N/A,fruity,N/A
Trust Shiraz 2012,25.25,N/A,low tannins,berry,high acidity
Borsao Berola 2014,18.95,N/A,N/A,N/A,N/A
Bricklayer's Predicament Cabernet Merlot VQA,10.95,medium body,N/A,berry,N/A
Family Series Sauvignon Blanc VQA,7.25,N/A,N/A,citrus,high acidity
Duorum Old Vines Reserva 2012,63.0,full body,N/A,fruity,N/A
Banfi Poggio alle Mura Brunello di Montalcino 2013,70.0,N/A,low tannins,berry,low acidity
Villa Poggio Salvi Riserva Brunello di Montalcino 2012,114.0,N/A,N/A,N/A,N/A
Silver Bay Riesling Gewürztraminer VQA,10.95,N/A,N/A,stone fruit,N/A
Hillier Creek Gamay Noir 2014,18.75,N/A,N/A,berry,high acidity
Bartenura Rosso Toscana KPM,12.15,N/A,N/A,N/A,N/A
Domaine de la Vieille Julienne Réserve Châteauneuf-du-Pape 2012,423.0,light body,N/A,berry,N/A
Arnaldo Caprai Collepiano Sagrantino di Montefalco 2012,64.0,N/A,N/A,N/A,N/A
Burning Kiln Horse and Boat Riesling,20.4,N/A,N/A,N/A,N/A
De Stefani Stefen 1624 2012,119.95,N/A,N/A,berry,N/A
Cueva By Marciano 2016,29.85,N/A,N/A,N/A,high acidity
Cederberg Shiraz 2015,20.75,N/A,N/A,berry,N/A
Calmel & Joseph Terrases Du Larzac 2015,24.25,N/A,low tannins,fruity,high acidity
Redtail Chardonnay,27.95,N/A,N/A,N/A,N/A
Evening Land Seven Springs Chardonnay 2015,79.0,N/A,medium tannins,citrus,N/A
San Pedro 1865 Single Vineyard Sauvignon Blanc 2015,14.25,light body,high tannins,citrus,high acidity
Georgian Hills Vidal Blanc VQA,11.75,N/A,N/A,N/A,N/A
Domaine Dujac Morey-Saint-Denis Blanc 2016,85.0,full body,N/A,citrus,high acidity
Baigorri Crianza 2014,24.95,N/A,N/A,berry,high acidity
Arkos Vinho Verde DOC Branco White 2016,11.25,N/A,N/A,N/A,N/A
Arkos Regional Alentejano Tinto 2016,12.85,N/A,medium tannins,fruity,N/A
Bien Nacido Vineyards Chardonnay 2015,69.0,N/A,N/A,citrus,high acidity
Pintia 2013,80.0,light body,N/A,N/A,high acidity
Wildass Sauvignon Blanc 2016,15.75,N/A,N/A,N/A,N/A
Macán Clásico 2014,64.0,N/A,N/A,fruity,N/A
Alpha Crucis Shiraz 2015,70.0,N/A,medium tannins,N/A,N/A
Aglianico Sannio DOC 2014,19.7,N/A,N/A,N/A,N/A
Josef Chromy Pepik Chardonnay 2017,23.0,N/A,N/A,N/A,N/A
Tantalus Chardonnay 2016,42.0,N/A,N/A,N/A,N/A
Bricco Riella Moscato d'Asti 2016,11.75,light body,N/A,stone fruit,low acidity
Sperling Vision Series Chardonnay 2016,32.95,N/A,N/A,N/A,N/A
Kim Crawford Wild Grace Small Parcels Chardonnay 2016,18.75,N/A,N/A,stone fruit,N/A
Saurus Barrel Fermented Malbec 2012,26.95,full body,N/A,berry,N/A
Chateau Cantenac Selection Madame 2014,32.0,N/A,N/A,fruity,N/A
Tenuta Di Trecciano Chianti Colli Senesi DOCG 2015,15.75,N/A,N/A,N/A,N/A
Laurent-Perrier Grand Siècle Grande Cuvée Champagne,199.0,light body,N/A,fruity,low acidity
Secreto Patagónico Chardonnay 2012,16.25,N/A,N/A,tropical fruit,high acidity
Domaine Autrand Côtes du Rhône 2016,14.95,N/A,N/A,N/A,N/A
Terre D'Ocres Rouge 2016,22.7,full body,N/A,fruity,low acidity
Hautes Pierre Rouge 2013,32.15,full body,low tannins,berry,low acidity
Casa-Dea Reserve Cabernet Franc 2013,20.25,light body,N/A,berry,high acidity
Vineland Estates Chardonnay Musqué 2015,14.75,N/A,N/A,stone fruit,high acidity
Marcel Cabelier Cote 39,24.8,N/A,N/A,citrus,high acidity
Hahn SLH Estate Chardonnay 2016,40.0,N/A,N/A,fruity,N/A
Buena Vista The Count Founder's Red 2014,22.25,N/A,N/A,berry,N/A
Mario Schiopetto Bianco 2016,38.0,full body,N/A,citrus,high acidity
Gentle Folk Blossoms 2016,41.55,N/A,N/A,citrus,N/A
Mastronardi White Sangria,9.05,N/A,N/A,stone fruit,low acidity
Peller Estates Signature Series Chardonnay Sur Lie 2016,31.95,N/A,N/A,N/A,N/A
Peller Estates Private Reserve Chardonnay 2016,19.95,N/A,N/A,N/A,high acidity
Borges Dao Reserva Red 2013,25.1,light body,N/A,citrus,low acidity
Meia Encosta Red 2015,6.75,N/A,medium tannins,N/A,low acidity
Stratus Chardonnay 2015,48.2,light body,medium tannins,fruity,N/A
Henriot Brut Rosé Champagne,95.0,N/A,N/A,berry,N/A
Clos des Moiselles 2015,19.95,N/A,medium tannins,fruity,low acidity
Bollinger Special Cuvée Brut Champagne,84.95,N/A,N/A,citrus,high acidity
Remo Farina Amarone 2015 & Ripasso 2016,69.95,N/A,N/A,fruity,N/A
Edelweiss 2017,18.95,N/A,N/A,N/A,N/A
Tenuta Mezzadria Marche Rosso IGT 2016,20.05,N/A,N/A,berry,N/A
Esk Valley Pinot Noir 2016,25.0,N/A,N/A,berry,N/A
Bartoli Grappoli Del Grillo 2015,53.95,N/A,N/A,N/A,N/A
Bartoli Sole E Vento 2016,34.85,N/A,N/A,N/A,N/A
Bartoli Pietranera 2016,51.85,N/A,N/A,N/A,high acidity
Bartoli Vignaverde 2016,34.15,N/A,N/A,N/A,high acidity
Bartoli Bukkuram Sole D'Agosto 2013,94.3,N/A,N/A,fruity,high acidity
J.L. Chave Sélection Farconnet Hermitage 2014,75.0,N/A,N/A,N/A,N/A
Château La Mondotte 2013,269.85,N/A,N/A,berry,N/A
Bartoli Marsala Superiore Riserva 10 Anni,74.05,N/A,N/A,N/A,N/A
Bartoli Marsala Superiore Riserva 1987,128.25,N/A,N/A,N/A,N/A
Bartoli Marsala Vergine Riserva 1988,185.45,N/A,N/A,N/A,N/A
Dettori Renosu Rosso,28.9,N/A,N/A,N/A,N/A
Naoussa Chrisohoou 2015,18.3,light body,N/A,N/A,N/A
Château Pape Clément Blanc 2013,219.85,N/A,N/A,citrus,high acidity
Cacho Fresco Rose,8.5,N/A,N/A,fruity,N/A
Le Grappin Savigny Les Beaune Blanc 2015,75.0,N/A,N/A,fruity,N/A
Domain Ostertag Fronholz Riesling 2015,49.15,N/A,N/A,stone fruit,N/A
Clos l'Église 2006,204.0,full body,high tannins,berry,N/A
Morandé Gran Reserva Cabernet Sauvignon 2014,16.25,N/A,N/A,N/A,N/A
La Clarté de Haut Brion Blanc 2013,159.85,light body,N/A,citrus,low acidity
Domain Mega Spileo Cabernet Sauvignon 2009,27.95,full body,N/A,fruity,low acidity
Peter Michael Belle Côte Chardonnay 2016,179.0,N/A,N/A,fruity,N/A
Peter Michael Les Pavots Red 2014,385.0,N/A,medium tannins,berry,N/A
Peter Michael Au Paradis Cabernet Sauvignon 2014,385.0,N/A,N/A,citrus,N/A
Lykos Assyrtiko 2016,33.3,light body,N/A,citrus,low acidity
Corison Cabernet Sauvignon 2013,142.0,N/A,N/A,N/A,N/A
Eisele Vineyard Altagracia Red 2014,190.0,N/A,N/A,fruity,N/A
Quintessa 2015,235.0,full body,N/A,N/A,high acidity
Mazzei Siepi 2015,140.0,N/A,N/A,fruity,N/A
Domaine du Colombier Hermitage 2015,106.0,full body,medium tannins,N/A,N/A
Sein 2011,17.95,full body,high tannins,fruity,N/A
Cuvée Joseph Talmard Mâcon Chardonnay 2017,16.95,N/A,N/A,N/A,N/A
Lindes de Remelluri Viñedos de San Vicente 2011,27.95,medium body,N/A,fruity,N/A
Queylus Réserve du Domaine Pinot Noir 2013,44.95,N/A,N/A,berry,N/A
Piazzano Chianti 2015,11.25,N/A,N/A,berry,N/A
Sao Joao Lote Especial Red 2014,24.3,N/A,low tannins,N/A,high acidity
Cune Gran Reserva 2011,39.95,N/A,medium tannins,berry,high acidity
The King's Legacy Chardonnay 2015,14.75,N/A,N/A,stone fruit,N/A
Villa Wolf Riesling Pfalz,10.4,N/A,N/A,stone fruit,high acidity
Sue-Ann Staff Fancy Farm Girl Flamboyant Red 2013,14.95,N/A,N/A,N/A,N/A
Domaine Porto Carras Merlot Organic 2014,17.55,full body,medium tannins,berry,low acidity
Charles & Charles Chardonnay,10.45,N/A,N/A,citrus,high acidity
Gravner Ribolla Anfora 2008,105.6,N/A,N/A,N/A,N/A
Pingus 2011,1575.0,N/A,N/A,fruity,N/A
